fechas,valor
03/04/2019,43
01/04/2019,43
29/03/2019,43
28/03/2019,42
27/03/2019,43
26/03/2019,42
25/03/2019,41
22/03/2019,40
21/03/2019,39
20/03/2019,40
19/03/2019,40
18/03/2019,40
15/03/2019,39
14/03/2019,40
13/03/2019,41
12/03/2019,40
11/03/2019,40
08/03/2019,40
07/03/2019,42
06/03/2019,39
01/03/2019,37
28/02/2019,38
27/02/2019,38
26/02/2019,37
25/02/2019,37
22/02/2019,39
21/02/2019,38
20/02/2019,39
19/02/2019,38
18/02/2019,38
15/02/2019,38
14/02/2019,38
13/02/2019,37
12/02/2019,37
11/02/2019,37
08/02/2019,37
07/02/2019,37
06/02/2019,35
05/02/2019,35
04/02/2019,36
01/02/2019,36
31/01/2019,36
30/01/2019,36
29/01/2019,37
28/01/2019,36
25/01/2019,36
24/01/2019,37
23/01/2019,37
22/01/2019,37
21/01/2019,37
18/01/2019,37
17/01/2019,37
16/01/2019,37
15/01/2019,37
14/01/2019,37
11/01/2019,37
10/01/2019,37
09/01/2019,38
08/01/2019,37
07/01/2019,38
04/01/2019,38
03/01/2019,38
02/01/2019,39
28/12/2018,39
27/12/2018,38
26/12/2018,38
21/12/2018,37
20/12/2018,37
19/12/2018,37
18/12/2018,37
17/12/2018,37
14/12/2018,36
13/12/2018,36
12/12/2018,36
11/12/2018,36
10/12/2018,36
07/12/2018,36
06/12/2018,36
05/12/2018,35
04/12/2018,35
03/12/2018,35
29/11/2018,36
28/11/2018,36
27/11/2018,37
26/11/2018,37
23/11/2018,36
22/11/2018,35
21/11/2018,34
20/11/2018,34
16/11/2018,34
15/11/2018,34
14/11/2018,34
13/11/2018,34
12/11/2018,33
09/11/2018,34
08/11/2018,34
07/11/2018,34
05/11/2018,34
02/11/2018,34
01/11/2018,34
31/10/2018,35
30/10/2018,35
29/10/2018,35
26/10/2018,35
25/10/2018,35
24/10/2018,35
23/10/2018,35
22/10/2018,35
19/10/2018,36
18/10/2018,36
17/10/2018,36
16/10/2018,36
12/10/2018,36
11/10/2018,36
10/10/2018,36
09/10/2018,36
08/10/2018,36
05/10/2018,37
04/10/2018,37
03/10/2018,37
02/10/2018,37
01/10/2018,38
28/09/2018,39
27/09/2018,39
26/09/2018,38
25/09/2018,39
24/09/2018,37
21/09/2018,37
20/09/2018,38
19/09/2018,38
18/09/2018,38
17/09/2018,38
14/09/2018,38
13/09/2018,38
12/09/2018,37
11/09/2018,37
10/09/2018,36
07/09/2018,37
06/09/2018,37
05/09/2018,37
04/09/2018,38
03/09/2018,37
31/08/2018,36
30/08/2018,39
29/08/2018,34
28/08/2018,32
27/08/2018,31
24/08/2018,30
23/08/2018,30
22/08/2018,30
21/08/2018,30
17/08/2018,29
16/08/2018,29
15/08/2018,30
14/08/2018,30
13/08/2018,30
10/08/2018,29
09/08/2018,28
08/08/2018,27
07/08/2018,27
06/08/2018,27
03/08/2018,27
02/08/2018,27
01/08/2018,27
31/07/2018,27
30/07/2018,28
27/07/2018,28
26/07/2018,28
25/07/2018,28
24/07/2018,28
23/07/2018,28
20/07/2018,28
19/07/2018,28
18/07/2018,28
17/07/2018,28
16/07/2018,28
13/07/2018,28
12/07/2018,27
11/07/2018,28
10/07/2018,28
06/07/2018,28
05/07/2018,28
04/07/2018,28
03/07/2018,28
02/07/2018,28
29/06/2018,28
28/06/2018,28
27/06/2018,27
26/06/2018,27
25/06/2018,27
22/06/2018,27
21/06/2018,28
19/06/2018,28
18/06/2018,28
15/06/2018,28
14/06/2018,27
13/06/2018,26
12/06/2018,26
11/06/2018,26
08/06/2018,25
07/06/2018,25
06/06/2018,25
05/06/2018,25
04/06/2018,25
01/06/2018,25
31/05/2018,25
30/05/2018,25
29/05/2018,25
28/05/2018,25
24/05/2018,25
23/05/2018,24
22/05/2018,24
21/05/2018,24
18/05/2018,25
17/05/2018,25
16/05/2018,24
15/05/2018,24
14/05/2018,26
11/05/2018,24
10/05/2018,23
09/05/2018,23
08/05/2018,22
07/05/2018,22
04/05/2018,22
03/05/2018,23
02/05/2018,21
27/04/2018,21
26/04/2018,20
25/04/2018,20
24/04/2018,20
23/04/2018,20
20/04/2018,20
19/04/2018,20
18/04/2018,20
17/04/2018,20
16/04/2018,20
13/04/2018,20
12/04/2018,20
11/04/2018,20
10/04/2018,20
09/04/2018,20
06/04/2018,20
05/04/2018,20
04/04/2018,20
03/04/2018,20
28/03/2018,20
27/03/2018,20
26/03/2018,20
23/03/2018,21
22/03/2018,21
21/03/2018,21
20/03/2018,21
19/03/2018,21
16/03/2018,20
15/03/2018,20
14/03/2018,20
13/03/2018,20
12/03/2018,20
09/03/2018,20
08/03/2018,20
07/03/2018,20
06/03/2018,20
05/03/2018,20
02/03/2018,20
01/03/2018,20
28/02/2018,20
27/02/2018,20
26/02/2018,20
23/02/2018,20
22/02/2018,20
21/02/2018,20
20/02/2018,20
19/02/2018,20
16/02/2018,20
15/02/2018,19
14/02/2018,20
09/02/2018,20
08/02/2018,20
07/02/2018,19
06/02/2018,19
05/02/2018,20
02/02/2018,20
01/02/2018,20
31/01/2018,20
30/01/2018,20
29/01/2018,20
26/01/2018,20
25/01/2018,20
24/01/2018,20
23/01/2018,19
22/01/2018,19
19/01/2018,19
18/01/2018,19
17/01/2018,19
16/01/2018,19
15/01/2018,19
12/01/2018,19
11/01/2018,19
10/01/2018,19
09/01/2018,19
08/01/2018,19
05/01/2018,19
04/01/2018,19
03/01/2018,19
02/01/2018,19
29/12/2017,19
28/12/2017,19
27/12/2017,19
26/12/2017,19
22/12/2017,18
21/12/2017,18
20/12/2017,18
19/12/2017,18
18/12/2017,18
15/12/2017,18
14/12/2017,18
13/12/2017,17
12/12/2017,18
11/12/2017,18
07/12/2017,17
06/12/2017,18
05/12/2017,18
04/12/2017,18
01/12/2017,18
30/11/2017,18
29/11/2017,18
28/11/2017,18
27/11/2017,18
24/11/2017,18
23/11/2017,18
22/11/2017,18
21/11/2017,18
17/11/2017,18
16/11/2017,18
15/11/2017,18
14/11/2017,18
13/11/2017,18
10/11/2017,18
09/11/2017,18
08/11/2017,18
07/11/2017,18
03/11/2017,18
